is_child,age,id
False,[''],534879316614873088
True,['0 to less than 1 year (baby/infant)'],492469001310597120
True,['11 to 13 years (middle school)'],525471075350900736
True,['0 to less than 1 year (baby/infant)'],485432654322745344
False,[''],426091770045542401
False,[''],490339599453933568
False,[''],481275500711903232
False,[''],486517814166323200
False,[''],512615683713015808
True,['0 to less than 1 year (baby/infant)'],453589680013852672
False,[''],473425630290538496
False,[''],419990021282598912
True,['No specific age (children general)'],490695651404292096
False,[''],468832429852340224
False,[''],478738093877784577
True,['No specific age (children general)'],525797412036960256
False,[''],496467303123271681
False,[''],479770593274101760
False,[''],504840860253814784
False,[''],418409057821548544
False,[''],432035551022047232
False,[''],429301794330914817
False,[''],514900777337618433
False,[''],488521396163596288
False,[''],431615144922075138
False,[''],459129590079053824
False,[''],482749795832848384
False,[''],457703201655885825
False,[''],457703201655885825
False,[''],457703201655885825
False,[''],457703201655885825
True,['11 to 13 years (middle school)'],525990909641768960
True,"['14 to 17 years (high school)', 'Unsure']",480523161927041024
True,"['11 to 13 years (middle school)', '14 to 17 years (high school)']",483423225620471809
False,[''],464419972996149248
False,[''],492400963265630208
False,[''],497541415845789696
False,[''],456214918610829312
True,['0 to less than 1 year (baby/infant)'],426854541334568961
True,['11 to 13 years (middle school)'],532267674408325121
False,[''],438662197976109056
False,[''],537609704118054912
False,[''],424409073543839744
False,[''],421172346528235520
True,['No specific age (children general)'],487074445320654848
True,['1 to 4 years (toddler/pre-school)'],545272035048316929
False,[''],425611068291829760
True,['1 to 4 years (toddler/pre-school)'],427615144865443840
False,[''],494005613014163456
False,[''],432634768417497088
False,[''],505962338789625857
True,['No specific age (children general)'],496017417227993088
False,[''],485977582077476864
False,[''],484195963225907200
True,['5 to 10 years (elementary school)'],459121455402192896
False,[''],468509225811853313
True,['1 to 4 years (toddler/pre-school)'],436598384648941568
False,[''],520617104500744192
True,['0 to less than 1 year (baby/infant)'],518773908569591808
False,[''],513087033376776195
False,[''],451249573139206144
True,['0 to less than 1 year (baby/infant)'],423169219992100865
False,[''],519566683036336129
False,[''],452478143472078848
True,['1 to 4 years (toddler/pre-school)'],512374172933451777
False,[''],508082012880506880
True,['14 to 17 years (high school)'],498152464076775424
True,['14 to 17 years (high school)'],498152464076775424
False,[''],498152464076775424
False,[''],498152464076775424
False,[''],439282211418681344
False,[''],434769086950948864
False,[''],426517369641779200
True,['0 to less than 1 year (baby/infant)'],469542613251407872
False,[''],425097682890522624
False,[''],496764095945641984
False,[''],473685764299976704
True,['1 to 4 years (toddler/pre-school)'],424967266074394624
True,['0 to less than 1 year (baby/infant)'],497768322247979009
False,[''],520688046593699840
False,[''],523261070169759744
False,[''],420078511093981184
False,[''],546353108281229312
True,['Unsure'],502503759327809536
False,[''],514123108689534976
False,[''],510003422259847168
False,[''],471621892722290688
False,[''],499688727677915137
False,[''],459854027908317184
False,[''],511242162223067136
False,[''],463789394042683392
False,[''],431977119237685249
True,['11 to 13 years (middle school)'],470967930680004608
False,[''],431270831789211648
False,[''],440618233016483841
False,[''],441118493690175488
False,[''],429655162681298944
False,[''],506670298159001600
False,[''],499791833757544449
False,[''],543301946686578690
False,[''],450073105394708480
True,['0 to less than 1 year (baby/infant)'],432131132591992832
False,[''],426815707557662721
True,"['0 to less than 1 year (baby/infant)', '1 to 4 years (toddler/pre-school)']",506177414511079424
False,[''],512144023692128257
True,['1 to 4 years (toddler/pre-school)'],438489366097166336
True,['1 to 4 years (toddler/pre-school)'],438489366097166336
True,['1 to 4 years (toddler/pre-school)'],438489366097166336
True,['1 to 4 years (toddler/pre-school)'],438489366097166336
True,['14 to 17 years (high school)'],539444349659267072
True,['5 to 10 years (elementary school)'],515598928520429568
False,[''],453557294983557120
True,['1 to 4 years (toddler/pre-school)'],532960731767918592
True,['1 to 4 years (toddler/pre-school)'],532960731767918592
False,[''],532960731767918592
False,[''],532960731767918592
False,[''],447954501689810944
False,[''],445689010506063872
False,[''],523358196493484032
False,[''],424023184304644096
False,[''],508380895305539584
True,['Unsure'],485109655719268354
False,[''],460638865687330816
True,['Unsure'],497713446201225216
False,[''],489774771278991360
False,[''],463680633169272832
False,[''],469265333657018368
True,['14 to 17 years (high school)'],488593942326153216
False,[''],434418404905058304
False,[''],426368313220812800
False,[''],530920962804285440
False,[''],489193544255832064
True,['0 to less than 1 year (baby/infant)'],474170373265948672
False,[''],440182080606322688
False,[''],435649904371712000
True,['Unsure'],477313005596585984
False,[''],512066196611809281
False,[''],534080098295894016
False,[''],457916717214089216
False,[''],526543881987698688
False,[''],477705012877873152
False,[''],493900428506312704
True,['No specific age (children general)'],476845690887213056
True,['No specific age (children general)'],476845690887213056
False,[''],476845690887213056
False,[''],476845690887213056
False,[''],502244972947451906
False,[''],489264842771947522
True,['0 to less than 1 year (baby/infant)'],426304574891098112
False,[''],451335463383883777
False,[''],542372106126651394
False,[''],434928294983917569
True,['Unsure'],444239833964097536
False,[''],499947872948072448
False,[''],426491709178904576
False,[''],424030823424487424
False,[''],525812702438899712
False,[''],499277820896743424
False,[''],442750310625185792
False,[''],442750310625185792
False,[''],442750310625185792
False,[''],442750310625185792
False,[''],424705027446677504
True,['Unsure'],505556467249078272
False,[''],431535313022763010
False,[''],489227235090776065
False,[''],461241256828760064
True,['5 to 10 years (elementary school)'],434367003940241408
False,[''],487115605397356544
False,[''],499211139717144577
False,[''],444838219310694400
False,[''],528413895002980352
False,[''],534853244787634176
False,[''],500407440014581760
False,[''],445007937933545472
True,['Unsure'],528696560595374081
True,['Unsure'],540955853906771969
True,['1 to 4 years (toddler/pre-school)'],510613173079375873
False,[''],435098234927984640
True,['Unsure'],430736092435054592
False,[''],445591403377487872
False,[''],425706227474399232
False,[''],453854343847247873
False,[''],514216736531697664
False,[''],514216736531697664
True,['5 to 10 years (elementary school)'],426558252168785920
False,[''],545982521763442688
False,[''],475517254956617729
True,['14 to 17 years (high school)'],421372032069419009
False,[''],452441707594784768
False,[''],498400710799917056
True,['0 to less than 1 year (baby/infant)'],479346743234945025
False,[''],443494822167707648
False,[''],489139163476668418
False,[''],519548937703673858
False,[''],472902201048723456
True,['5 to 10 years (elementary school)'],500343141510438912
True,['1 to 4 years (toddler/pre-school)'],437588666215858176
True,['1 to 4 years (toddler/pre-school)'],437588666215858176
True,['1 to 4 years (toddler/pre-school)'],437588666215858176
True,['1 to 4 years (toddler/pre-school)'],437588666215858176
False,[''],489807904392753152
False,[''],510082234540630016
False,[''],498098459384500224
False,[''],498098459384500224
False,[''],498098459384500224
False,[''],498098459384500224
False,[''],431703871711227904
False,[''],477391565204094976
False,[''],438215824953057280
False,[''],430530015340400640
False,[''],441341456771710976
False,[''],426422172589260800
False,[''],504114870204522496
False,[''],477276675516792832
False,[''],469647406955782145
True,['11 to 13 years (middle school)'],478701012199284736
True,['0 to less than 1 year (baby/infant)'],545239522707918848
False,[''],531128723957760001
True,['No specific age (children general)'],528366418543116288
False,[''],510742191921037312
False,[''],510742191921037312
False,[''],510742191921037312
False,[''],510742191921037312
False,[''],474260523039870976
False,[''],433036132004421632
False,[''],449246485406691328
True,['No specific age (children general)'],526236090085040128
True,['0 to less than 1 year (baby/infant)'],433265483622539264
False,[''],487753373051912192
True,['1 to 4 years (toddler/pre-school)'],539101931000836097
False,[''],420461819128721409
True,['1 to 4 years (toddler/pre-school)'],430149731289792512
False,[''],433130558541922304
False,[''],422749038690058240
False,[''],434149160636645376
False,[''],435250879965696000
True,['0 to less than 1 year (baby/infant)'],547508165042896896
False,[''],506521690315431937
False,[''],430549817568149505
False,[''],482966234674122752
False,[''],475155104807784449
False,[''],512330957094137857
False,[''],443900559083331584
False,[''],418543658351464448
False,[''],418543658351464448
False,[''],418543658351464448
False,[''],418543658351464448
False,[''],528236509892067330
False,[''],516608680192905216
False,[''],495810373103419392
True,['11 to 13 years (middle school)'],545338119021539330
False,[''],426004124690550784
False,[''],499009209133170689
True,['0 to less than 1 year (baby/infant)'],441965325567791104
True,['0 to less than 1 year (baby/infant)'],513510381675765760
False,[''],426762987534155776
False,[''],490149863862972416
False,[''],457295449213255680
False,[''],457295449213255680
False,[''],457295449213255680
False,[''],457295449213255680
False,[''],448625152066994177
False,[''],420281983663882240
False,[''],495655498474336257
False,[''],546551353607471104
False,[''],546428691556106240
False,[''],546551353607471104
False,[''],546428691556106240
False,[''],485462254692093952
True,['0 to less than 1 year (baby/infant)'],505814473832022016
True,['0 to less than 1 year (baby/infant)'],505814473832022016
True,['0 to less than 1 year (baby/infant)'],505814473832022016
True,['0 to less than 1 year (baby/infant)'],505814473832022016
True,['No specific age (children general)'],532471237453557762
False,[''],473351115602673664
True,['5 to 10 years (elementary school)'],524774438014050304
False,[''],421281731732586496
True,['0 to less than 1 year (baby/infant)'],449230938728185856
True,['14 to 17 years (high school)'],482913161067397120
True,['1 to 4 years (toddler/pre-school)'],498830192476164096
False,[''],528746567856320512
False,[''],481879972651356160
False,[''],487306638215626752
False,[''],510260870979395584
False,[''],510260870979395584
False,[''],510260870979395584
False,[''],510260870979395584
False,[''],466679496771641344
False,[''],462225632256991232
False,[''],455864067920781312
False,[''],428266345638420480
False,[''],492738591018086400
False,[''],473921142739451904
False,[''],491036585454862336
False,[''],441576734182633472
True,['0 to less than 1 year (baby/infant)'],468820806655438849
False,[''],431674862440964097
False,[''],439582788040527873
True,['0 to less than 1 year (baby/infant)'],520685276893818881
False,[''],472398697121071106
True,['0 to less than 1 year (baby/infant)'],487440161052315648
False,[''],426558711759265792
False,[''],434868977739640834
False,[''],540066506810208256
False,[''],537662346236526593
True,['0 to less than 1 year (baby/infant)'],506913395132882944
False,[''],474270824006811649
False,[''],472965091017502720
True,['0 to less than 1 year (baby/infant)'],426099499325730816
False,[''],499043053709971456
False,[''],468568982019407873
True,['0 to less than 1 year (baby/infant)'],459918699202244609
False,[''],468205799257677825
True,['1 to 4 years (toddler/pre-school)'],479752170686783488
False,[''],455904134781087744
True,['14 to 17 years (high school)'],492873174212960256
False,[''],543094401455513600
False,[''],543094401455513600
False,[''],543094401455513600
False,[''],543094401455513600
False,[''],515471937494339584
False,[''],473904992806776832
False,[''],473904992806776832
False,[''],473904992806776832
False,[''],473904992806776832
False,[''],435277340038668288
False,[''],435277340038668288
False,[''],435277340038668288
False,[''],435277340038668288
False,[''],434735753076432897
False,[''],450409638622949376
False,[''],430983063687159808
False,[''],516331692903370752
False,[''],429672384191143936
False,[''],527272921614811136
False,[''],534061119254441984
False,[''],492434353658802177
False,[''],510647444007165953
True,['14 to 17 years (high school)'],469600556227788800
False,[''],472852608000864256
False,[''],430745119910682624
False,[''],517875994514817025
False,[''],457656008362700800
False,[''],545643303883259906
True,['0 to less than 1 year (baby/infant)'],547902729965019136
True,['No specific age (children general)'],511189189665497088
True,['Unsure'],494676941580926976
False,[''],464933171025297408
False,[''],509472328703819776
False,[''],536719690832154624
False,[''],420751906420453377
True,['Unsure'],435603973194514432
True,['1 to 4 years (toddler/pre-school)'],545764558120681472
True,['0 to less than 1 year (baby/infant)'],418347912972603392
True,['1 to 4 years (toddler/pre-school)'],531574307286437889
False,[''],498980896746135553
False,[''],474463249199407104
True,['0 to less than 1 year (baby/infant)'],476948313137500160
False,[''],523662534705156098
True,['0 to less than 1 year (baby/infant)'],527838166179672064
True,['5 to 10 years (elementary school)'],427587190395531265
False,[''],463871144810917889
False,[''],455961336770330624
False,[''],476975407430770688
